Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
3,Suicide car bombing,3 (+1),7,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Fallujah, Iraq","Three police personnel were killed and seven troops – four police personnel and three army soldiers – were injured in a suicide bombing in Iraq's western city of Fallujah, according to a local military officer.[17]",Islamic State,Iraqi Civil War
4,Bombing,3,5,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Sirnak, Turkey","At least three Turkish soldiers were killed and five others were injured during anti-terror operations in Küpeli Mountain in Turkey's southeastern Şırnak province, theŞırnak Governorate said Tuesday.[18]",PKK,Kurdish–Turkish conflict
4,Shooting,1,4,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Bingol, Turkey",A village guard was killed and three other village guards and one security official were slightly injured during an operation against the PKK.[19],PKK,Kurdish–Turkish conflict
5,Suicide bombing,8 (+1),19,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Lahore, Pakistan",April 2017 Lahore suicide bombing: A suicide bomber kills at least 8 people including 4 soldiers and another 19 people near a Pakistan Army vehicle taking part in the census in the city of Lahore. Tehreek-i-Taliban Pakistan claimed responsibility.[20],Tehreek-i-Taliban Pakistan,War in North-West Pakistan
5,"Shooting, Suicide bombings",35,40,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Tikrit, Iraq","2017 Tikrit attacks: Insurgents kills at least 35 people, including 14 security forces. The attack occurred in Tikrit and was claimed by Islamic State.[21]",Islamic State,Iraqi Civil War
5,Bombing,0,0,"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Bastia, France",An explosion damaged the entry of an office of the company Électricité de France in Corsica.[22],National Liberation Front of Corsica,Corsican conflict
5,Shooting,4,0,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Kharan District, Pakistan",At least four labourers were gunned down in Gawash area of Kharan District.[23],Tehreek-i-Taliban Pakistan (suspected),War in North-West Pakistan
5,Car bombing,7,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",A car bombing killed 7 people and injured dozens outside a restaurant in the Somali capital.[24],Al-Shabaab,War in Somalia
5,Shooting,1,1,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Karachi, Pakistan",A former soldier was killed and a passerby was injured in a shooting attack in Karachi.[25],Lashkar-e-Jhangvi (suspected),War in North-West Pakistan
5,Bombings,7,12,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq","Seven people were killed in three bombings in Baghdad. The first bombing was planted in a fish market, and three civilians were killed. Four others were also injured. In the second bombing, a civlian was killed and another was injured. In the third bombing, three people were killed and seven injured when a roadside bomb went off amid a group of construction workers.[26]",Islamic State,Iraqi Civil War
5,Bombings,2,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baquba, Iraq",An attack occurred in Baquba: two police officers were killed and four others were injured.[26],Islamic State,Iraqi Civil War
5,Bombing,3,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq","A device exploded at a fish market in Yusufiya, south of Baghdad, killing three people and injuring four others, police officer told.[27]",Islamic State,Iraqi Civil War
6,Shooting,1,7,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Uttar Pradesh, India",A police constable was shot dead in Uttar Pradesh by militants.[28],Jaish-e-Mohammed (suspected),Kashmir conflict
6,Shooting,1,Unknown,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Sahel region, Mali","A French soldier was killed in the Sahel region, Mali after a clash with armed militants.[29]",Jama'at Nasr al-Islam wal Muslimin,Northern Mali conflict
6,Vehicular attack,1,3 (+1),"&lt;img alt=""Israel"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""660"" data-file-height=""480""&gt; Highway 55, Israel",An Israeli soldier was killed and 3 were injured in a vehicle-ramming attack on Highway 55.[30],Palestinian Nationalist,Israeli–Palestinian conflict
6,Bombing,1,8,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",A bomb kills 1 and another 8 were injured.[31],Islamic State,Iraqi Civil War
6,Bombing,19,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Lower Shebelle, Somalia",Al-Shabaab bombing kills at least 19 people in Somalia.[32],Al Shabaab (suspected),War in Somalia
7,Mortar attack,3,0,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Wadajir District, Somalia","Mortar rounds were fired in a neighborhood in Wadajir District, Somalia, killing three civilians. Al-Shabaab is suspected of being behind the attack.[33]",Al Shabaab (suspected),War in Somalia
7,Shooting,7,1+,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",Seven persons were killed by Boko Haram militants near Maiduguri.[34],Boko Haram,Boko Haram insurgency
7,Vehicular attack,5,14,"&lt;img alt=""Sweden"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/23px-Flag_of_Sweden.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""1600"" data-file-height=""1000""&gt; Stockholm, Sweden",2017 Stockholm attack: Five persons[35] were killed when a truck driven by an Uzbek man steered into a pedestrian shopping street and a department store. 14 others were wounded. A pet dog was also killed in the attack. The police and the Government are treating it as a terrorist attack. The truck was hijacked just moments before the attack.[36] The man admitted that he was inspired by Islamic State.[37],Rakhmat Akilov,Islamic terrorism in Europe
7,Stabbing,1,1+,"&lt;img alt=""Australia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/23px-Flag_of_Australia.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1280"" data-file-height=""640""&gt; Queanbeyan, Australia","Two teenage boys, inspired by Islamic State, attacked a service station, resulting in the death of a 29-year-old man who worked at the service station. Several hours later, at 6.20am, another man was stabbed in Queanbeyan.[38]",Islamic State,Islamic terrorism in Australia
7,Assassination,1,0,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Lahore, Pakistan","Gunmen on a motorcycle shot dead a man in Lahore. Local police, who confirmed the victim was from the minority Ahmadi religious group, said was a targeted killing.[39]",Jamaat-ul-Ahrar (suspected),War in North-West Pakistan
7,Bombing,1,3,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",Bombing left one dead and another three were wounded.[40],Islamic State,Iraqi Civil War
7,"Shooting, Mortar attack",0,2,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Donetsk, Ukraine","Two civilians were injured at Petrovsky District, Donetsk.[41]",Donetsk People's Republic,War in Donbass
8,Shooting,2,0,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Malgobek, Russia","Two traffic policemen were killed after their vehicle came under fire from Islamic militans in Ingushetia, North Caucasus.[42]",Vilayat Dagestan (suspected),Insurgency in the North Caucasus
8,Bombing,1,25,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Chasia, Syria",A person detonated a bomb which killed one civilian and 25 others were injured.[43],Jihadist (suspected),Syrian Civil War
8,Attempted shooting,0 (+6),0,"&lt;img alt=""Indonesia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; East Java, Indonesia",Indonesian police say they killed six suspected Islamic militants in a gun battle that followed a failed attack in East Java.[44],Islamic State (suspected),Terrorism in Indonesia
8,Attempted bombing,0,0,"&lt;img alt=""Norway"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""1100"" data-file-height=""800""&gt; Oslo, Norway","On 8 April, a man was arrested and part of the Grønland district of Oslo closed off by police after a ""bomb-like"" device was found that was later demolished in a controlled explosion. The man, a 17-year-old Russian citizen, was charged on 9 April with illegal possession of an explosive device. The man arrived in Norway as an asylum seeker in 2010, and was known to the Norwegian Police Security Service (PST) for having expressed support for the Islamic State of Iraq and the Levant (ISIS). The events led PST to raise the terror alert, indicating that attempted attacks during the coming year are ""likely"".[45][46]",Islamic State (suspected),Islamic terrorism in Europe
8,Roadside bombing,9 (+5),Several,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Balkh province, Afghanistan","An Afghan official says a roadside bomb killed at least nine security forces during an ongoing operation in the northern Balkh province. Munir Ahmad Farhad, spokesman for the provincial governor, said Sunday that several other forces were wounded the night before in the Chimtal district, where they are battling Taliban insurgents. He says five insurgents have been killed and dozens wounded.[47]",Taliban,War in Afghanistan
8,Roadside bombing,1,4,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Guaviare, Colombia","A vehicle that carried a military personnel that was accompanied to the National Police and the environmental authorities of the government. He was ""attacked by improvised explosive""[48]",FARC (suspected),Colombian Conflict
9,Suicide bombing,30 (+1),70,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Tanta, Egypt","Palm Sunday church bombings: 30 people were killed and at least 70 were injured in an explosion in a Coptic Church in Tanta, Egypt. Initial investigations show the terrorist blew himself up during the church's Palm Sunday services, causing mass destruction at the scene. Near a police station, there was also an attack.[49]",Islamic State,Insurgency in Egypt
9,Suicide bombing,17 (+1),66,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Alexandria, Egypt",Palm Sunday church bombings: A suicide bomber has detonated an explosion outside Saint Mark’s Church in Alexandria’s Manshyia district. 16 persons were killed and 66 others were injured. There was also an explosion in Chouhada Street in Alexandria.[49],Islamic State,Insurgency in Egypt
9,Roadside bombing,1,16,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Nangarhar, Afghanistan","A U.S. soldier was killed during a combat operation in the Nangarhar district of Afghanistan on Saturday, officials said.[50]",Taliban,War in Afghanistan
9,Shooting,5,1+,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Gargando, Mali","Five people were killed in an attack carried out by militants in Gargando, Mali.[51]",Jama'at Nasr al-Islam wal Muslimin,Northern Mali conflict
9,Car bombing,15,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia","A car bomb explodes outside the Ministry of Defence in Mogadishu, killing at least 15 people. Al-Shabaab claimed responsibility for the attack.[52]",Al-Shabaab,War in Somalia
10,Bombings,10 (+1),Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",Two bomb attacks left at least 10 dead including 9 soldiers in Mogadishu.[53],Al-Shabaab,War in Somalia
10,Shooting,10,Unknown,"&lt;img alt=""South Sudan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_South_Sudan.svg/23px-Flag_of_South_Sudan.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1000"" data-file-height=""500""&gt; Wau, South Sudan",Insurgents kills 10 people in the city of Wau.[54],Sudan People's Liberation Army (suspected),South Sudanese Civil War
10,Executions,12,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Kirkuk, Iraq","A lone wolf terrorist kills at least 12 people in Kirkuk, Iraq.[55]",Islamic State,Iraqi Civil War
10,Shooting,2,0,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan",Shooting left at least 2 people dead in Kabul.[56],Mullah Dadullah Front (suspected),War in Afghanistan
10,Shooting,1,2,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Moscow Oblast, Russia","About 20 citizens from the North Caucasus shot at a gas station by the M4 Don motorway. According to unconfirmed information, one person was killed and two others wounded.[57]",Islamists (suspected),Insurgency in the North Caucasus
10,Bombing,1,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Taji, Iraq",A bomb kills at least one and another 4 were wounded.[58],Islamic State,Iraqi Civil War
10,Shelling,0,1,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Marinka, Ukraine",One male civilian was wounded in Marinka.[59],Donetsk People's Republic,War in Donbass
11,Shooting,2,1,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Zabul Province, Afghanistan",Two police were killed and another were injured by insurgents in Zabul province.[60],Taliban,War in Afghanistan
11,Mortar attack,2,1,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Homs Governate, Syria","According to the Russian Defence Ministry, two of its soldiers have been killed by a mortar attack in Syria while another was wounded.[61]",Ahrar al-Sham (suspected),Syrian Civil War
11,Shooting,6 (+8),0,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Inabanga, Bohol, Philippines","2017 Bohol clash: Three Philippine Army soldiers, a policeman, two civilians and four militants were killed during the April 11 firefight. Four more militants were killed on April 22.[62]",Abu Sayyaf,Moro conflict
11,Bombing,3,10-12,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Diyarbakır, Turkey","According to the latest figures, the attack killed three people and injured between 10 and 12. On 12 April the incident was classified as a terrorist attack by the Turkish Ministry of the Interior.[63]",PKK,Kurdish–Turkish conflict
11,Shelling,7,13,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",Militants from Islamic State of Iraq and the Levant kills at least 7 people and another 13 were injured. All victims were civilians.[64],Islamic State,Iraqi Civil War
12,Bombing,2,2,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Zabul province, Afghanistan",A bomb kills at least 2 soldiers and another 2 were injured.[65],Taliban,War in Afghanistan
12,Suicide bombing,5 (+1),10,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan",A suicide bomber kills at least five people and wounds ten more near government offices in Kabul. ISIL claims responsibility for the attack.[66],Islamic State,War in Afghanistan
12,Bombing,1,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Iraq",A bomb kills one and 4 others were injured.[67],Islamic State,Iraqi Civil War
13,Shooting,2,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Diyala, Iraq",Insurgent kills at least 2 people in Diyala. All victims were policemen.[68],Islamic State,Iraqi Civil War
