Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
12,Shooting,1 (+2),3,"&lt;img alt=""Tunisia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Kebili, Tunisia",A police officer and two militants were killed in a shootout at a checkpoint in southern Tunisia that left three other officers injured.[37],Al-Qaeda in the Islamic Maghreb,Insurgency in the Maghreb
12,Shooting,0,0 (+Unknown),"&lt;img alt=""Peru"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/23px-Flag_of_Peru.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Acobamba District, Peru","Militants of Sendero Luminoso attacked a helicopter of the armed forces of Peru, the latter responded to the attack leaving as balance several wounded attackers.[38]",Sendero Luminoso,Internal Conflict in Peru
13,Bombings,13 (+1),16,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia","An explosion near the Weheliye Hotel killed 13 people and injured 14 others. Hours earlier a suicide bomber in a minibus detonated his explosive load at a checkpoint, killing himself and injuring two bystanders.[39][40]",Al-Shabaab,War in Somalia
13,Bombings,1,22,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan","A roadside bomb destroyed a bus carrying government employees in central Kabul, killing one person and leaving 8 others injured.[41][42]",Taliban (suspected),War in Afghanistan
13,Shooting,4,1+,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Mali",Two Malian soldiers and two Malian civilians were killed in a shooting attack.[43],Jama'at Nasr al-Islam wal Muslimin,Insurgency in the Maghreb
13,Executions,3,0,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Nigeria",Three Nigerian men were executed by Bolo Haram militants. The three men were accused of being Nigerian military spies.[44],Boko Haram,Boko Haram insurgency
14,Shooting,1,0,"&lt;img alt=""United Kingdom"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""600""&gt; Carrickfergus, Northern Ireland","A high-profile loyalist was died following a shooting in Carrickfergus, County Antrim. The Police Service of Northern Ireland said that the man may have been linked to a feud with loyalist paramilitary factions.[45] .[46]",Ulster Defence Association (suspected),Ulster Loyalist Paramilitary
14,Bombing,1,2,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Homs, Syria","A bomb blast hit a passenger bus in the city of Homs, Syria killing five people and wounding six.[47]",Tahrir al-Sham (suspected),Syria Civil War
14,Shooting,2,0,"&lt;img alt=""Bangladesh"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""500"" data-file-height=""300""&gt; Dinajpur, Bangladesh",A Sufi spiritual leader and his daughter were shot and hacked to death by unknown militants in northern Bangladesh.[48],Jihadists,Internal conflict in Bangladesh
15,Suicide bombings,40 (+2),30+,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Damascus, Syria","March 2017 Damascus bombings: A suicide bomber detonated his vest outside the Palace of Justice, killing and injuring dozens. A second suicide blast took place at a restaurant in the Rabweh area of Damascus, killing and injuring an unknown number of people.In the two attacks, 40 people were killed and more than 30 were injured.[49]",Islamic State,Syrian Civil War
15,Ambush,5 (+Unknown),Unknown,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Magumeri, Nigeria",Four soldiers and a police officer were killed in a Boko Haram ambush.[50],Boko Haram,Boko Haram insurgency
15,Suicide bombings,6 (+4),16,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",Four female teenage suicide bombers killed six people and injured 16 others in a residential area in the Nigerian city of Maiduguri.[51],Boko Haram,Boko Haram insurgency
15,Bombing,2,3+,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Diyarbakır, Turkey",Two Turkish soldiers were killed Wednesday following the detonation of an improvised explosive device (IED) on the highway linking eastern Diyarbakır and Mardin provinces.[52],PKK,Kurdish–Turkish conflict
16,Execution,1,0,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Philippines",A Vietnamese seafarer who was kidnapped on February 19th by Abu Sayyaf was killed while trying to escape his captors.[53],Abu Sayyaf,Moro conflict
16,"Shooting, arson",3+,Several,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Borno State, Nigeria",Two soldiers and a police officer were killed and many others were injured in a Boko Haram attack. But the deputy governor of the Borno state says many soldiers may have been killed.[54],Boko Haram,Boko Haram insurgency
16,Bombing,0,1,"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Paris, France","An explosion following the opening of a trapped envelope caused a wounded in the 16th arrondissement of Paris, the address of the European headquarters of the International Monetary Fund.[55]",Conspiracy of Fire Nuclei,Terrorism in France
16,Assassination,1,0,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Coimbatore, India","H.Farook, 31, from Bilal Estate in South Ukkadam was hacked to death by a four-six member gang on Thursday night. Reasons for murder were Farook's criticism of religion and rationalistic views.[56]",Jihadists,Terrorism in India
17,Suicide bombing,0 (+1),2,"&lt;img alt=""Bangladesh"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""500"" data-file-height=""300""&gt; Dhaka, Bangladesh","2017 Dhaka RAB Camp Sucide Bombing Attack: A suicide bomber blew himself up inside a camp of Bangladesh's anti-crime Rapid Action Battalion, injuring two security personnel.[57]",Islamic State,Terrorism in Bangladesh
17,Ambush,1,1,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Borno State, Nigeria",A police officer was killed and another was injured in a Boko Haram ambush.[58],Boko Haram,Boko Haram insurgency
17,Assassination,3,0,"&lt;img alt=""Uganda"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/23px-Flag_of_Uganda.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Kampala, Uganda","Uganda's assistant inspector-general of police, Andrew Kaweesi, was killed along with two bodyguards in his car in Kampala by unknown gunmen.[59]",Allied Democratic Forces (suspected),Allied Democratic Forces insurgency
17,Shooting,3 (+6),7,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Khyber Pakhtunkhwa and Shabqadar, Pakistan",Three soldiers were killed in two separate attacks carried out by Jamaat-ul-Ahrar militants.[60],Jamaat-ul-Ahrar,Operation Ghazi
18,"Assault, shooting",0 (+1),4,"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Stains and Orly, France","On the 18 March, a man shot and seriously wounded three police officers. Later, a soldier incurred minor injuries when she was assaulted by the same man as tried to take her gun in Paris Orly airport. Two soldiers on patrol subsequently shot the suspect dead and the stolen gun was retrieved.[61][62][63]",Jihadist,Wave of Terror in Europe
18,Shooting,3,1,"&lt;img alt=""Peru"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/23px-Flag_of_Peru.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Ayacucho, Peru",Three policemen were killed and another injured during an ambush in Ayacucho region.[64],Shining Path,Internal conflict in Peru
19,Shooting,9,2+,"&lt;img alt=""Mexico"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/23px-Flag_of_Mexico.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""840"" data-file-height=""480""&gt; Veracruz, México","A journalist was shot while eating in a restaurant with his wife and son, who were injured,[65] in other incident, the governor of Veracruz, Miguel Angel Yunes confirmed that the balance of a shooting was of eight people dead (five police and three civilians), in Coxquihui, a serrano municipality of the state.[66]",Jalisco New Generation Cartel (suspected),Mexican Drug War
19,Suicide bombings,4 (+3),8,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",Three suicide bombers killed at least four people and injured eight others in the Nigerian city of Maiduguri.[67],Boko Haram,Boko Haram insurgency
20,Shooting,1+ (+Unknown),13+,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Magumeri, Nigeria",At least a soldier was killed and 13 others were injured in an operation against Boko Haram militants.[68],Boko Haram,Boko Haram insurgency
20,Car bombing,23,45,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",A car bombing killed 23 people and injured more than 40 others in a commercial area of the southwestern Hayy Al-A'amel suburb.[69],Islamic State,Iraqi Civil War
20,Shooting,2 (+7),Unknown,"&lt;img alt=""Cameroon"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Far North Region, Cameroon",Two persons were killed in a Boko Haram attack in Cameroon. Seven attackers were also killed.[70],Boko Haram,Boko Haram insurgency
